Jerryd Bayless,PHI,40,0.6,0.076,0.72,0.5,0.2,0.4,35.3,35.3,0.12,0.2,0.08,0,0.36
Myke Henry,MEM,20,0.5,0.076,0.7,0.4,0.2,0.5,33.3,33.3,0.1,0.1,0.1,0.1,0.3
E'Twaun Moore,NOP,82,0.9,0.076,0.6,0.5,0.3,0.7,37.3,37.3,0,0.192,0,0,0.301
Justin Jackson,SAC,68,0.5,0.074,0.8,0.4,0.2,0.4,44.8,44.8,0.057,0.143,0.057,0.029,0.4
Darius Miller,NOP,82,0.5,0.074,0.88,0.5,0.2,0.4,48.3,58.6,0.048,0.262,0.048,0,0.381
Vince Carter,SAC,58,0.4,0.072,1,0.4,0.2,0.4,50,54.5,0.042,0.042,0.042,0,0.458
Klay Thompson,GSW,73,1.3,0.072,0.76,1,0.4,1,43.2,46.6,0.021,0.216,0.021,0,0.351
Bojan Bogdanovic,IND,79,0.9,0.07,0.92,0.8,0.3,0.6,48.9,48.9,0.167,0.208,0.167,0.028,0.458
Wesley Johnson,LAC,74,0.4,0.069,1.03,0.4,0.2,0.4,43.3,48.3,0.065,0,0.032,0.032,0.452
Timothe Luwawu-Cabarrot,PHI,52,0.4,0.069,0.43,0.2,0.1,0.3,20,23.3,0.087,0.261,0.043,0,0.217
Joe Johnson,HOU,23,0.5,0.068,0.36,0.2,0.1,0.4,22.2,22.2,0,0.182,0,0,0.182
Thabo Sefolosha,UTA,38,0.5,0.068,0.7,0.4,0.2,0.4,40,40,0.05,0.2,0.05,0,0.35
Allen Crabbe,BKN,75,0.9,0.068,0.64,0.5,0.2,0.7,30.8,35.6,0.031,0.156,0.016,0,0.281
Sindarius Thornwell,LAC,73,0.3,0.067,0.73,0.2,0.1,0.2,41.7,41.7,0.227,0.273,0.182,0.045,0.364
Sterling Brown,MIL,53,0.3,0.066,0.63,0.2,0.1,0.2,38.5,38.5,0,0.188,0,0,0.313
Alex Abrines,OKC,75,0.3,0.066,0.59,0.2,0.1,0.2,33.3,33.3,0.091,0.273,0.091,0.045,0.273
Tony Snell,MIL,75,0.4,0.064,0.71,0.3,0.1,0.3,42.9,42.9,0.065,0.258,0.065,0,0.355
Joe Harris,BKN,78,0.6,0.064,1.02,0.6,0.2,0.4,51.4,61.4,0.083,0.208,0.083,0.021,0.438
Kyle Singler,OKC,3,0.3,0.063,0,0,0,0.3,0,0,0,0,0,0,0
Wilson Chandler,DEN,74,0.6,0.062,0.85,0.6,0.2,0.6,35.7,44,0.083,0.083,0.063,0.042,0.354
Reggie Bullock,DET,62,0.6,0.062,0.84,0.5,0.2,0.5,38.2,44.1,0.026,0.079,0.026,0,0.368
David Nwaba,CHI,70,0.5,0.061,0.44,0.2,0.1,0.3,22.7,22.7,0.194,0.194,0.194,0,0.25
Michael Kidd-Gilchrist,CHA,74,0.6,0.06,0.71,0.4,0.2,0.5,36.1,36.1,0.098,0.073,0.098,0.049,0.366
Marcus Morris,BOS,53,0.8,0.058,0.81,0.6,0.3,0.7,38.9,41.7,0.071,0.071,0.048,0,0.405
Kyle Kuzma,LAL,77,0.9,0.058,0.77,0.7,0.3,0.7,38.2,41.8,0.096,0.151,0.096,0.014,0.356
Rashad Vaughn,MIL,16,0.2,0.057,1,0.2,0.1,0.2,33.3,50,0,0,0,0,0.333
Arron Afflalo,ORL,53,0.2,0.056,0,0,0,0.1,0,0,0,0.364,0,0,0
DeMarcus Cousins,NOP,48,1.5,0.055,0.79,1.1,0.4,0.9,38.6,42,0.171,0.243,0.171,0.043,0.371
Treveon Graham,CHA,63,0.2,0.055,0.87,0.2,0.1,0.2,50,54.2,0,0.2,0,0,0.4
Andre Iguodala,GSW,64,0.4,0.054,1,0.4,0.1,0.3,40,50,0.13,0.043,0.087,0.043,0.435
CJ Miles,TOR,70,0.5,0.051,0.97,0.5,0.2,0.4,48.1,59.3,0.029,0.176,0.029,0,0.412
Jason Terry,MIL,51,0.2,0.05,0.67,0.1,0.1,0.1,42.9,42.9,0,0.222,0,0,0.333
Andrew White III,ATL,15,0.3,0.049,0,0,0,0.2,0,0,0,0,0.25,0,0
