PLAYER,TEAM,GP,W,L,MIN,PASSES MADE,PASSES RECEIVED,AST,SECONDARY AST,POTENTIAL AST,AST ADJ,AST TO PASS%,AST TO PASS% ADJ
Cedi Osman,CLE,61,35,26,11,10.5,8.5,0.7,0.1,1,0.8,6.4,7.8
Chandler Parsons,MEM,36,12,24,19.2,21.6,22.5,1.9,0.3,3.5,2.2,8.9,10.3
Channing Frye,LAL,53,28,25,13.1,17.1,12.2,0.7,0.1,1.6,1,4.2,6
Charles Cooke,NOP,13,8,5,2.9,1.8,2.5,0.1,0,0.1,0.1,4.3,4.3
Cheick Diallo,NOP,52,29,23,11.2,12.6,6.7,0.4,0,0.5,0.3,2.9,2.7
Chinanu Onuaku,HOU,1,0,1,21.6,18,18,1,0,2,1,5.6,5.6
Chris Boucher,GSW,1,1,0,1.3,3,3,0,0,0,0,0,0
Chris McCullough,WAS,19,11,8,4.7,6.7,4.3,0.2,0,0.4,0.3,3.1,3.9
Chris Paul,HOU,58,50,8,31.8,50.4,59.4,7.9,0.6,15.4,8.9,15.6,17.6
Clint Capela,HOU,74,62,12,27.5,38.4,23.1,0.9,0.2,2.3,1.1,2.4,3
Cody Zeller,CHA,33,14,19,19,13.3,12.8,0.9,0.1,1.7,1.1,7,8.4
Cole Aldrich,MIN,21,14,7,2.3,2.8,2,0.1,0,0.1,0.1,5.1,5.1
Corey Brewer,OKC,72,32,40,16.8,10.3,10.3,0.9,0,1.8,1,8.7,10
Cory Joseph,IND,82,48,34,27,40.7,44.9,3.2,0.5,6.4,3.7,7.8,9.1
Courtney Lee,NYK,75,26,49,30.4,25.9,32.5,2.4,0.3,4.8,2.8,9.2,10.7
Cristiano Felicio,CHI,55,13,42,17.8,15.1,14.8,1,0.1,2,1.1,6.6,7.6
D'Angelo Russell,BKN,48,16,32,25.7,45.7,59.3,5.2,0.5,10.4,6,11.3,13.1
D.J. Augustin,ORL,75,23,52,23.5,40.7,48.3,3.8,0.5,8.3,4.5,9.4,10.9
D.J. Wilson,MIL,22,12,10,3.2,3.9,2.7,0.1,0,0.4,0.2,3.5,4.7
Dakari Johnson,OKC,30,21,9,4.9,4.3,3.8,0.2,0,0.4,0.3,5.5,6.3
Damian Jones,GSW,15,7,8,5.9,4.9,4.5,0.1,0,0.5,0.1,2.7,2.7
Damian Lillard,POR,73,44,29,36.6,54.2,71.9,6.6,0.8,12.7,7.6,12.2,14.1
Damien Wilkins,IND,19,10,9,8,7.3,7.6,0.5,0.1,0.8,0.5,6.5,7.2
Damion Lee,ATL,15,4,11,27,28.3,28.5,1.9,0.3,4.8,2.4,6.8,8.5
Damyean Dotson,NYK,44,11,33,10.8,9.5,10.3,0.7,0.1,1.4,0.9,7.4,9.1
Daniel Hamilton,OKC,6,5,1,4.6,8.2,9.2,1.3,0,2.2,1.3,16.3,16.3
Daniel Theis,BOS,60,41,19,14.9,18.1,14.1,0.9,0,1.6,1,5.1,5.4
Danilo Gallinari,LAC,21,11,10,32,34.4,33.8,2,0.4,3.6,2.4,5.7,7.1
Danny Green,SAS,70,40,30,25.6,28.4,26.2,1.6,0.3,2.8,2,5.5,7.1
Dante Cunningham,BKN,73,34,39,21.4,21.9,14.5,0.7,0.1,1.3,0.8,3,3.5
Dante Exum,UTA,14,10,4,16.8,24.9,30.5,3.1,0.2,4.7,3.3,12.3,13.2
Danuel House,PHX,23,6,17,17.5,14.2,14.3,1.1,0.1,2.2,1.2,7.6,8.3
Dario Saric,PHI,77,49,28,29.6,44.7,37.5,2.6,0.2,4.7,2.9,5.8,6.6
Darius Miller,NOP,82,48,34,23.7,15.8,17.4,1.4,0.1,2.5,1.5,8.6,9.3
Darrell Arthur,DEN,19,12,7,7.4,8.4,7.5,0.5,0.1,0.8,0.6,5.6,6.9
Darren Collison,IND,69,39,30,29.3,49.6,57.1,5.3,0.5,10.1,6,10.8,12.1
Darrun Hilliard,SAS,14,8,6,6.8,7.6,7.5,0.8,0,1.1,0.8,10.3,10.3
David Nwaba,CHI,70,26,44,23.5,14.1,16,1.5,0.2,2.9,1.7,10.5,12.3
David Stockton,UTA,3,3,0,3.1,4.3,7,0,0,0.7,0,0,0
David West,GSW,73,52,21,13.7,19.2,18.9,1.9,0.2,3.4,2.2,9.8,11.6
Davis Bertans,SAS,77,43,34,14.1,18.3,14,1,0.1,1.4,1.1,5.2,5.8
Davon Reed,PHX,21,2,19,11.5,11,10.4,0.6,0.1,1.8,0.9,5.6,7.8
De'Aaron Fox,SAC,73,24,49,27.7,50.9,61,4.4,0.5,8.6,5,8.6,9.8
DeAndre Jordan,LAC,77,39,38,31.5,43.5,22.7,1.5,0.2,2.6,1.8,3.5,4.1
DeAndre Liggins,NOP,57,34,23,12.4,9.6,9.4,0.8,0.1,1.8,0.9,8.6,9.5
DeAndre' Bembry,ATL,25,8,17,18.2,21.8,23.2,2,0.1,4.2,2.1,9,9.6
DeMar DeRozan,TOR,80,57,23,33.9,37.6,54.9,5.2,0.8,10.4,6.1,13.9,16.1
DeMarcus Cousins,NOP,48,27,21,36.2,59.9,60.7,5.4,0.4,9.3,5.9,8.9,9.9
DeMarre Carroll,BKN,71,24,47,29.9,36.5,32.4,2,0.4,4.2,2.4,5.6,6.6
Dejounte Murray,SAS,81,47,34,21.5,40.8,41.4,2.9,0.7,5.7,3.6,7,8.7
Delon Wright,TOR,69,49,20,20.8,32.6,34.5,2.9,0.4,5.9,3.4,8.9,10.5
Demetrius Jackson,PHI,15,12,3,5.3,9.9,10.7,0.6,0,1.8,0.6,6.1,6.1
Dennis Schroder,ATL,66,21,45,30.9,62.7,79.8,6.2,0.7,12.4,7.1,9.9,11.4
Dennis Smith Jr.,DAL,69,22,47,29.7,57.3,67.3,5.2,0.9,10.7,6.2,9.1,10.7
Denzel Valentine,CHI,77,26,51,27.2,27.9,30.7,3.2,0.2,6.5,3.6,11.3,12.8
Derrick Favors,UTA,77,46,31,28,39.3,30.2,1.3,0.2,2.5,1.6,3.4,4
Derrick Jones Jr.,MIA,20,9,11,12.3,7.2,6.5,0.5,0.1,0.9,0.6,6.3,7.7
Derrick Rose,MIN,25,15,10,16.8,18.6,24.6,1.5,0.4,2.3,1.9,8,10.1
Derrick Walton Jr.,MIA,16,8,8,9.2,14.1,12.6,1,0.1,2.5,1.1,7.1,7.6
Derrick White,SAS,17,7,10,8.2,10.6,10.5,0.5,0,0.9,0.5,5,5
Derrick Williams,LAL,2,1,1,4.3,4.5,4.5,0,0,1,0,0,0
Devin Booker,PHX,54,16,38,34.5,38.8,58.4,4.7,0.5,9.6,5.5,12.1,14.1
Devin Harris,DEN,71,33,38,18.9,24.1,27.7,2.1,0.2,3.8,2.3,8.9,9.5
Devin Robinson,WAS,1,0,1,13.2,17,10,0,0,3,0,0,0
Dewayne Dedmon,ATL,61,18,43,24.9,31.8,23.8,1.4,0.1,2.3,1.5,4.5,4.8
Deyonta Davis,MEM,62,16,46,15.2,16.8,11.5,0.6,0,1.3,0.7,3.8,4.3
Dillon Brooks,MEM,82,22,60,28.7,26.2,30,1.6,0.4,3.7,2.1,6.3,7.9
