PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TO FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE
Fred VanVleet,TOR,76,1.6,18.60%,1.19,1.9,0.6,1.3,50.5,59.8,16.30%,8.10%,13.00%,3.30%,52.00%,66.9
Luol Deng,LAL,1,3,100.00%,0.67,2,1,2,50,50,0.00%,33.30%,0.00%,0.00%,33.30%,
Julius Randle,LAL,82,3.1,19.40%,1.11,3.4,1.3,2.1,62.4,62.7,19.40%,16.70%,18.30%,5.20%,56.00%,54
Kyle Kuzma,LAL,77,3.9,23.60%,0.98,3.8,1.5,3.1,47.9,53.8,9.70%,12.80%,9.70%,2.70%,44.60%,27
Terrance Ferguson,OKC,61,0.7,21.50%,1.23,0.8,0.3,0.6,50,59.2,5.00%,0.00%,5.00%,0.00%,52.50%,73.9
Blake Griffin,DET,25,2,9.50%,0.96,1.9,0.6,1.2,48.4,56.5,20.00%,24.00%,18.00%,6.00%,44.00%,23.5
Brook Lopez,LAL,74,1.1,8.20%,1,1.1,0.4,0.9,38.8,47.8,9.00%,5.10%,6.40%,0.00%,42.30%,30.3
Jordan Clarkson,CLE,28,2.2,17.80%,1.34,2.9,1.1,1.8,61.2,76.5,8.20%,13.10%,8.20%,1.60%,54.10%,90.1
Jonas Valanciunas,TOR,77,0.5,4.60%,1.1,0.6,0.2,0.5,50,56.9,7.30%,7.30%,7.30%,2.40%,48.80%,51.5
Ramon Sessions,NYK,13,0.5,8.10%,0.67,0.3,0.2,0.4,40,40,0.00%,16.70%,0.00%,0.00%,33.30%,
Alex Abrines,OKC,75,0.7,15.90%,1.4,1,0.4,0.7,56,72,3.80%,3.80%,3.80%,1.90%,54.70%,93.9
Ron Baker,NYK,29,0.4,14.40%,0.54,0.2,0,0.2,16.7,16.7,23.10%,30.80%,7.70%,0.00%,30.80%,0.9
Jerami Grant,OKC,81,1,12.50%,1.39,1.3,0.5,0.8,63.5,66.7,20.80%,1.30%,20.80%,3.90%,68.80%,93.2
Austin Rivers,LAC,61,1.3,8.30%,0.98,1.3,0.4,1,45,52.5,13.40%,13.40%,11.00%,0.00%,46.30%,25.7
DeMar DeRozan,TOR,80,2.2,9.70%,1.26,2.8,1.1,1.7,63.4,67.2,15.30%,13.10%,13.60%,4.50%,59.10%,79.7
Kay Felder,CHI,13,0.9,14.00%,0.75,0.7,0.2,0.8,30,35,8.30%,8.30%,0.00%,0.00%,33.30%,10
Lonzo Ball,LAL,52,2.8,19.90%,0.74,2.1,0.8,2,40.8,46.1,6.20%,23.40%,5.50%,0.70%,33.80%,5.4
Victor Oladipo,IND,74,4.7,20.70%,1.15,5.4,2.1,3.4,60.1,65.2,14.60%,16.00%,13.20%,3.20%,54.40%,59
Giannis Antetokounmpo,MIL,75,5.6,22.20%,1.2,6.7,2.3,3.5,64.4,64.8,29.20%,14.70%,28.00%,7.10%,61.30%,70.3
Aaron Gordon,ORL,58,3.7,20.10%,0.96,3.6,1.3,2.8,47.3,52.7,12.10%,13.60%,10.70%,3.30%,44.40%,23.9
D'Angelo Russell,BKN,48,2.4,13.00%,0.72,1.7,0.7,1.7,40,45,7.10%,23.90%,6.20%,1.80%,32.70%,4.7
Evan Turner,POR,79,1.4,14.80%,0.9,1.2,0.5,0.9,52.7,55.4,9.30%,23.40%,8.40%,1.90%,43.90%,16
Elfrid Payton,PHX,19,2.1,13.90%,0.82,1.7,0.7,1.4,51.9,51.9,10.30%,25.60%,10.30%,5.10%,41.00%,9.9
Shabazz Napier,POR,74,1.2,12.70%,1.05,1.2,0.5,0.9,48.6,52.9,11.60%,10.50%,8.10%,3.50%,47.70%,41.2
Lance Stephenson,IND,81,1.7,15.40%,0.97,1.6,0.6,1.2,55.3,57.4,15.30%,19.00%,14.60%,2.90%,50.40%,25
JJ Redick,PHI,70,2.5,16.40%,1.23,3,1,2.2,44.4,61.4,5.80%,5.80%,4.60%,0.00%,45.10%,75
De'Aaron Fox,SAC,73,3.3,22.80%,0.98,3.2,1.2,2.5,49.2,50.3,18.30%,11.30%,17.10%,4.60%,49.60%,26.1
Goran Dragic,MIA,75,2.9,15.80%,1.17,3.3,1.3,2.2,58.5,62.2,14.50%,11.70%,13.10%,2.80%,56.10%,63.3
Ben Simmons,PHI,81,3.4,19.30%,1.01,3.4,1.4,2.2,66.1,66.1,14.10%,23.60%,10.10%,1.80%,52.20%,32.2
Willie Cauley-Stein,SAC,73,1.3,9.40%,1.38,1.8,0.8,1,76.3,77,11.80%,8.60%,11.80%,2.20%,72.00%,92.6
J.J. Barea,DAL,69,1.4,11.40%,1.04,1.5,0.6,1,61.4,68.6,6.00%,25.00%,6.00%,1.00%,48.00%,39.1
