PLAYER,TEAM,AGE,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%,FGM,FGA,FG%
Danilo Gallinari,LAC,29,10.7,18.1,58.8,2.1,5.6,37.6,2.5,5.2,48.2,2.5,6.8,36.6,3.9,10.1,38,4.2,12.1,35
Danny Green,SAS,31,8.8,14.9,59.2,1.7,5,34,1.9,4.3,45,2.1,4.8,43.2,2.6,7.2,35.6,2.9,8.2,35.3
Dante Cunningham,BKN,31,8.3,13.3,62.6,1.9,4.4,43.5,1.6,3.8,42.1,1.8,4.4,40.3,2.2,6.3,35.4,2.9,7.8,36.7
Dante Exum,UTA,22,4.8,9.7,49.3,1.6,4.5,36.5,1.2,3.3,37,1.2,3.9,31.5,1.7,3.9,44.4,1.9,4.7,40.9
Danuel House,PHX,25,5,9.1,54.5,1.4,3.2,43.7,1.5,3.4,44,1.7,3.9,44.7,1.6,4.8,33.3,3,7.7,38.2
Dario Saric,PHI,24,9.7,16.9,57.6,2.2,5.5,40.2,1.9,5.1,37.3,2.6,6.5,40,2.9,7.8,36.8,4.3,12.1,35.3
Darius Miller,NOP,28,9.4,14.9,62.9,2.2,4.9,44.9,1.6,4,38.9,1.8,4.3,41.5,2.3,6.7,34,3.2,9.5,33.5
Darrell Arthur,DEN,30,3.9,5.7,68,0.7,1.9,37,0.6,1.4,42.1,0.9,1.8,48.3,0.6,1.9,30.3,1.3,2.9,44.9
Darren Collison,IND,30,11,17.2,63.6,2.1,4.7,44,1.8,4.2,43.2,2.2,5.2,41.7,2.7,7.1,38.6,4.6,12.6,36.4
Darrun Hilliard,SAS,25,2.4,3.5,68.9,0.6,1.3,50,0.8,1.5,50,0.8,1.8,43.5,0.8,1.5,52.9,0.9,2.9,29.3
David Nwaba,CHI,25,9.7,14.9,65.1,1.2,3,39.3,1.2,2.7,42.6,1.4,3.3,41.1,3.2,8.9,36.3,3.6,9.8,36.2
David Stockton,UTA,27,1.7,2,83.3,0,0.3,0,0.7,1,66.7,0,0,0,0.5,1,50,0.7,1.3,50
David West,GSW,37,5.2,8.5,61.1,0.9,2.7,33.8,0.9,2.5,34.2,1,2.5,39.1,1.1,3.3,32.1,1.6,4.9,33.2
Davis Bertans,SAS,25,5.1,8.7,59,1.2,2.9,41.1,1.1,2.7,39.8,1.2,3.2,38.7,1.8,4.3,41.6,1.7,5.1,33.2
Davon Reed,PHX,23,4.6,7.6,60,0.8,1.7,44.4,0.6,1.9,30.6,1,2.9,34.6,1.3,3.1,41.9,1.7,4,42.2
De'Aaron Fox,SAC,20,10.4,16.5,63.2,1.8,4.6,39.5,1.4,3,45,1.5,3.7,39.3,3.9,9.8,39.6,4.1,10.6,38.3
DeAndre Jordan,LAC,29,11.5,18.2,63.3,1.9,4.8,40.7,2.3,5.4,43.4,2.5,6.7,38,4,10.2,39.5,4.3,12.1,35.2
DeAndre Liggins,NOP,30,5.1,8.4,61.2,0.9,2.1,40.2,0.7,1.9,39.2,0.9,2,43.9,1.2,3.1,38.3,1.7,4.4,38.9
DeAndre' Bembry,ATL,23,6,9.5,63.6,1,2.4,41.9,1.3,2.7,46.5,1.6,4,39.6,2.6,5.9,44.2,2.5,7.2,34.3
DeMar DeRozan,TOR,28,12.8,21.8,58.6,2.3,6.6,34.5,2.6,6.1,42.7,2.8,6.7,42.6,2.8,7.8,36.1,4.3,11.4,37.5
DeMarcus Cousins,NOP,27,12.8,20.5,62.3,2.7,6.4,42.7,2.3,5.3,42.7,2.8,7.3,38.8,4.2,11.3,37.2,5.4,14.3,37.7
DeMarre Carroll,BKN,31,10.8,18.4,58.6,2.9,7,41.1,2.5,6.2,40.8,3.2,6.8,47,3.2,8.3,38.2,2.9,7.9,36.2
Dejounte Murray,SAS,21,7.2,12.9,55.7,1.7,4.3,40,1.6,3.8,42.8,1.7,4.4,39.9,2.2,6.2,35.3,2.4,6.7,35.5
Delon Wright,TOR,26,7.8,13.7,56.9,1.4,3.9,34.9,1.3,3.1,42.5,1.4,3.1,44.7,1.6,4.8,33.1,2.4,6.4,36.6
Demetrius Jackson,PHI,23,1.9,2.8,69,0.4,1.4,29.4,0.2,0.9,18.2,0.5,1,50,0.6,1.4,45,1.1,2.9,37.2
Dennis Schroder,ATL,24,11.5,18.6,62.1,2,4.5,45,2.4,5.4,45.1,2.6,5.6,45.5,4.3,11,38.8,4.1,10.6,38.7
Dennis Smith Jr.,DAL,20,10.5,16.2,65.1,2.3,5.6,40.6,2.1,4.5,46.5,2.2,5.3,41.3,4,9.4,43.2,3.9,11,36
