Player_Num,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
332,Miles Plumlee,ATL,29,5,2,3,1.5,0,0,0.2,0,0,0,0,0,0.4,0,0,1.2,1.2,0.2,0,0,0,0,1.7,1,0,0.6
346,Sterling Brown,MIL,23,4,0,4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.3
346,Jonas Jerebko,UTA,31,4,3,1,2.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,-1
346,Sam Dekker,LAC,24,4,4,0,2.4,0.8,0,0.3,0,0,0.3,0,0.8,1,75,0,0.5,0.5,0.3,0,0,0,0,1.7,0,0,3.8
346,Ryan Arcidiacono,CHI,24,4,2,2,2.2,0.5,0.3,0.3,100,0,0,0,0,0,0,0,0.3,0.3,0,0,0,0,0.5,0.8,0,0,0.5
346,Amir Johnson,PHI,31,4,4,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
346,Eric Moreland,DET,26,4,1,3,0.7,0,0,0,0,0,0,0,0,0,0,0.3,0,0.3,0,0,0,0,0.3,0.3,0,0,-1.5
346,Jared Dudley,PHX,32,4,0,4,1.6,0,0,0.3,0,0,0.3,0,0,0,0,0.3,0,0.3,0,0,0,0,0,0.3,0,0,-3.3
346,Troy Williams,NYK,23,4,0,4,0.9,0.3,0,0,0,0,0,0,0.3,0.3,100,0,0,0,0,0,0,0,0,0.3,0,0,-2.5
346,Ron Baker,NYK,25,4,2,2,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.5,0,0.3,1.3,0,0,-0.8
346,Andrew Bogut,LAL,33,4,2,2,0.3,0.5,0,0,0,0,0,0,0.5,0.5,100,0,0,0,0,0.3,0,0,0.8,0.3,0,0,0.3
