Player_Num,VS PLAYER,TEAM,GP,W,L,MIN,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PFD,OPP PTS,OPP +/-
583,"Canaan, Isaiah",HOU,1,1,0,4,5,6,83.3,1,1,100,1,2,50,0,3,3,3,1,1,1,0,2,2,12,1
583,"Mitrou-Long, Naz",UTA,1,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,-5
583,"Perkins, Kendrick",CLE,1,0,1,14.5,15,26,57.7,5,8,62.5,1,2,50,2,7,9,12,6,3,1,1,7,3,36,-3
583,"Evans, Jeremy",ATL,1,0,1,5.4,5,10,50,2,5,40,4,5,80,2,4,6,2,1,1,0,0,3,3,16,4
583,"Eddie, Jarell",CHI,1,0,1,3,0,2,0,0,2,0,2,2,100,0,1,1,0,3,0,0,0,1,1,2,-10
583,"Lin, Jeremy",BKN,1,0,1,25.2,29,54,53.7,5,19,26.3,12,14,85.7,6,17,23,17,8,9,3,1,15,11,75,6
583,"Richardson, Malachi",TOR,1,1,0,4.7,7,9,77.8,3,5,60,1,1,100,0,5,5,4,0,0,0,0,0,1,18,12
583,"Kuzminskas, Mindaugas",NYK,1,0,1,1.9,0,3,0,0,1,0,0,0,0,0,3,3,0,0,1,1,0,0,0,0,0
583,"Deng, Luol",LAL,1,0,1,13.1,13,32,40.6,5,10,50,2,2,100,7,14,21,8,4,2,0,1,8,2,33,7
583,"Robinson, Devin",WAS,1,0,1,13.2,6,17,35.3,2,5,40,9,10,90,0,9,9,3,6,1,2,1,9,5,23,-10
583,"Brown, Anthony",MIN,1,0,1,3.7,2,5,40,1,4,25,4,6,66.7,1,3,4,0,3,0,0,0,1,3,9,-3
583,"Sumner, Edmond",IND,1,0,1,2.2,3,5,60,1,3,33.3,1,1,100,1,3,4,2,1,0,0,0,1,1,8,6
583,"Jackson, Aaron",HOU,1,0,1,34.5,28,58,48.3,5,16,31.3,8,12,66.7,4,29,33,16,7,6,3,4,12,19,69,10
