PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,EFG%
Dwight Powell,DAL,79,21.2,1.3,0.5,1.4,32.4,0.3,1,33.8,44.6
Dwyane Wade,MIA,67,22.9,0.7,0.3,1,28.8,0.2,0.6,28.6,37.9
E'Twaun Moore,NOP,82,31.5,4.5,1.5,3.6,42.3,1.4,3.3,42.8,61.7
Ed Davis,POR,78,18.9,0,0,0,50,0,0,0,50
Edmond Sumner,IND,1,2.2,0,0,0,0,0,0,0,0
Ekpe Udoh,UTA,63,12.9,0.1,0,0.2,13.3,0,0,0,13.3
Elfrid Payton,PHX,63,28.7,1.2,0.4,1.2,32.5,0.4,1.2,33.3,48.7
Emeka Okafor,NOP,26,13.6,0.8,0.4,0.9,45.8,0,0,0,45.8
Emmanuel Mudiay,NYK,64,19.4,1.5,0.5,1.5,34,0.5,1.4,32.6,49
Enes Kanter,NYK,70,25.8,0.8,0.4,1,40.3,0,0,0,40.3
Eric Bledsoe,MIL,74,31.4,4,1.4,3.4,39.9,1.3,3.2,39.1,58.3
Eric Gordon,HOU,69,31.2,6.8,2.3,5.9,38.3,2.2,5.8,38.2,57.1
Eric Moreland,DET,67,12,0.1,0,0.1,37.5,0,0,0,37.5
Erik McCree,UTA,4,1.9,0,0,0,0,0,0,0,0
Ersan Ilyasova,PHI,69,25.1,4.6,1.7,4.2,40.5,1.2,3,38.8,54.5
Evan Fournier,ORL,57,32.2,6,2.1,5.1,41,1.8,4.4,40,58
Evan Turner,POR,79,25.7,1.6,0.6,1.8,32.9,0.5,1.6,30.4,46.4
Frank Kaminsky,CHA,79,23.2,4.1,1.4,3.7,38.1,1.2,3.3,37.5,54.6
Frank Mason,SAC,52,18.9,0.5,0.2,0.6,29,0.2,0.5,32.1,43.5
Frank Ntilikina,NYK,77,22,1.5,0.5,1.7,31,0.5,1.3,36.1,44.6
Fred VanVleet,TOR,76,20,3.2,1.1,2.5,43.9,1.1,2.4,44.5,65.5
Furkan Korkmaz,PHI,14,5.7,1.1,0.4,1.1,31.3,0.4,1.1,33.3,46.9
